Starter,Receptor,Relationship
Virus,Endosome,activation
Viral DNA,Endoplasmic reticulum,activation
ssRNA,Endosome,activation
dsRNA,MDA5,activation
dsRNA,LGP2,activation
TRIF,IRF3,activation
TRIF,TBK1,activation
TBK1,IRF7,activation
MAVS,TBK1,activation
MAVS,IRF3,activation
MAVS,IRF7,activation
TBK1,ISRE,activation
IRF3,ISRE,activation
IRF7,ISRE,activation
MyD88,IRF1,activation
MyD88,IRF3,activation
MyD88,IRF7,activation
FOXO3,IRF1,activation
FOXO3,IRF3,activation
FOXO3,IRF7,activation
STAT6,TBK1,inhibition
