Starter,Receptor,Relation
let-7,RAS,Activation
RAS,RAS,Inhibition
RAF-1,RAF-1,Activation
RAF-1,MEK1,Activation
MEK1,MEK2,Activation
MEK2,ERK1,Activation
ERK1,ERK2,Activation
ERK2,p90RSK,Activation
EGFR Family Receptors,p90RSK,Activation
PI3K,PI3K,Activation
PDK1,PDK1,Activation
AKT,AKT,Activation
AKT,"Pro-apoptotic Factors (FOXO, BIM, BAX)",Inhibition
PTEN,"Anti-apoptotic Factors (Bcl-2, MCL1)",Activation
miR-145,PI3K,Inhibition
miR-214,N-RAS,Inhibition
miR-143,N-RAS,Inhibition
miR-181a,K-RAS,Inhibition
miR-217,K-RAS,Inhibition
miR-195,K-RAS,Inhibition
miR-497,RAF-1,Inhibition
miR-34a,MEK1,Inhibition
miR-497,MEK1,Inhibition
miR-1826,MEK1,Inhibition
miR-124,ERK1,Inhibition
miR-214,ERK1,Inhibition
miR-483-5p,ERK1,Inhibition
miR-17-5p,RAS,Inhibition
miR-21,RAS,Inhibition
miR-22,RAS,Inhibition
miR-205,RAS,Inhibition
miR-221/222,RAS,Inhibition
miR-7,PI3K,Inhibition
miR-375,PDK1,Inhibition
miR-302-367 cluster,AKT,Inhibition
miR-155,Pro-apoptotic Factors,Activation
miR-182,Pro-apoptotic Factors,Activation
