Starter,Receptor,Relationship
Insulin/growth factor,Insulin Receptor,Activation (Direct)
Insulin Receptor,PI3K,Activation (Direct)
PI3K,PTEN,Inhibition (Direct)
PI3K,PIPs,Activation (Direct)
PIPs,AMP/ATP Ratio,Activation (Indirect)
AMP/ATP Ratio,Essential Amino Acids,Inhibition (Indirect)
AMPK,mTORC1,Inhibition (Direct)
AMPK,AMP/ATP Ratio,Activation (Direct)
AMPK,Essential Amino Acids,Inhibition (Indirect)
PIP3,Akt,Activation (Indirect)
Akt,TCS1 & 2,Inhibition (Direct)
TCS1 & 2,Rheb,Inhibition (Indirect)
Rheb,mTORC1,Activation (Direct)
mTORC2,GS3K,Activation (Direct)
GS3K,Rheb,Inhibition (Indirect)
