Starter,Receptor,Relationship
FGF,FGFR,activation
FGFR,FGFRL1,activation
FGFR,FRS2,activation
FGFR,PLC-γ,activation
FGFR,STAT,activation
FGFR,PIP2,activation
PIP2,IP3,activation
IP3,DAG,activation
DAG,PKC,activation
FRS2,GRB2,activation
GRB2,SOS,activation
GRB2,GAB1,activation
GAB1,PI3K,activation
PI3K,AKT,activation
SOS,RAS,activation
RAS,RAF,activation
RAF,MEK,activation
MEK,ERK,activation
ERK,MKP3,activation
ERK,Nucleus,activation
Nucleus,Transcription of target genes,activation
Transcription of target genes,Proliferation and survival,activation
Transcription of target genes,Resistance to anticancer agents,activation
Transcription of target genes,Neoangiogenesis,activation
