Starter,Receptor,Relationship
Insulin,INSR,activation
INSR,IRS1,activation
IRS1,PI3K,activation
PI3K,AKT2,activation
AKT2,AS160/TBC1D4,activation
AKT2,GSK3α/β,inhibition
GSK3α/β,Glycogen synthase,inhibition
AKT2,Rac1,activation
Rac1,GSV fusion/GLUT4 insertion,activation
Rab,GSV fusion/GLUT4 insertion,activation
Glycogen phosphorylase,Glycogen synthesis,inhibition
Glycogen synthase,Glycogen synthesis,activation
PP1,Phosphorylase kinase,inhibition
Phosphorylase kinase,Glycogen synthase,inhibition
