Gene 1,Gene 2,Relationship
TRIB2,Proliferation,Activation (Direct)
Bcl2,Proliferation,Activation (Direct)
c-Met,Proliferation,Activation (Direct)
G6PD,NADPH,Activation (Direct)
G6PD,Ribose synthesis,Activation (Direct)
NADPH,Proliferation,Activation (Direct)
Ribose synthesis,Proliferation,Activation (Direct)
MiR-206,TRIB2,Inhibition (Direct)
MiR-206,Bcl2,Inhibition (Direct)
MiR-206,c-Met,Inhibition (Direct)
MiR-206,G6PD,Inhibition (Direct)
MiR-206,GPD2,Inhibition (Direct)
MiR-206,TKT,Inhibition (Direct)
MiR-206,PDG,Inhibition (Direct)
MiR-206,Samd3,Inhibition (Direct)
TGF-β1,MiR-206,Inhibition (Direct)
NRF2,MiR-206,Inhibition (Direct)
