Starter,Receptor,Relation
Lipoixins/Epi-Lipoixins,PLC,Activation
Lipoixins/Epi-Lipoixins,PI3K,Activation
Lipoixins/Epi-Lipoixins,RAS,Activation
Lipoixins/Epi-Lipoixins,PIPP,Activation
Lipoixins/Epi-Lipoixins,JAK,Activation
Lipoixins/Epi-Lipoixins,SAA,Activation
Lipoixins/Epi-Lipoixins,SOCS,Activation
Lipoixins/Epi-Lipoixins,AKT,Activation
Lipoixins/Epi-Lipoixins,MPO,Activation
PIPP,PLD,Inhibition
PLC,IP3,Activation
PLC,DAG,Activation
PI3K,AKT,Activation
RAS,RAF,Activation
RAF,MEK,Activation
MEK,ERK1/2,Activation
ERK1/2,TNF,Activation
TNF,STAT,Activation
JAK,AP-1,Activation
NF-κB,Nrf2,Activation
NF-κB,Transcription,Activation
NF-κB,Transcription,Activation
STAT,PPARγ,Activation
STAT,Transcription,Activation
AP-1,Transcription,Activation
Nrf2,Transcription,Activation
NAB1,EGR1,Inhibition
SOCS,RAS,Inhibition
SOCS,JAK,Activation
SAA,NF-κB,Activation
MPO,NF-κB,Activation
