Starter,Receptor,Relationship
X-RAY,Cytochine Receptor/Growth Factor Receptor,Activation (Direct)
Cytochine Receptor/Growth Factor Receptor,Sphk1,Activation (Direct)
Sphk1,Sphingosine,Activation (Direct)
Sphingosine,S1P,Activation (Direct)
S1P,FTY720,Inhibition (Direct)
FTY720,S1P,Inhibition (Indirect)
S1P,RAS,Activation (Direct)
RAS,ERK,Activation (Direct)
ERK,Proliferation,Activation (Direct)
S1P,PI3K,Activation (Direct)
PI3K,AKT,Activation (Direct)
AKT,mTOR,Activation (Direct)
mTOR,Autophagy/Apoptosis,Activation (Direct)
