Starter,Receptor,Relationship
IGF-1,IGF-1R,activation
IGF-2,IGF-1R,activation
IGF-1R,IRS1/2,activation
IGF-1R,Shc,activation
IRS1/2,PI3K,activation
PI3K,PIP3,activation
PIP2,PI3K,activation
PIP3,PDK1,activation
PI3K,AKT,activation
mTORC2,AKT,activation
AKT,TSC1/TSC2,inhibition
AKT,GSK-3β,inhibition
AKT,mTORC1,activation
TSC1/TSC2,Rheb,inhibition
Rheb,mTORC1,activation
mTORC1,S6K,activation
mTORC1,4EBP1,inhibition
mTORC1,Protein Synthesis,activation
mTORC1,Cell Survival/Proliferation,activation
AMPK,mTORC1,inhibition
AMPK,ULK1/2,activation
ULK1/2,Autophagy,activation
Shc,Ras,activation
Ras,Raf,activation
Raf,MEK1/2,activation
MEK1/2,ERK1/2,activation
ERK1/2,Gene transcription,activation
Gene transcription,Mitogenic effects,activation
Gene transcription,Cell Survival/Cell Growth,inhibition
GSK-3β,Glucose metabolism,inhibition
Bad,Apoptosis,inhibition
