Starter,Receptor,Relationship
GTP,GEFs,Activation (Direct)
GDP,GTP,Inhibition (Direct)
NF1,GTP,Inhibition (Indirect)
GEFs,PI3K,Activation (Direct)
PI3K,Akt,Activation (Direct)
Akt,mTORC1,Activation (Direct)
mTORC1,S6K1,Activation (Direct)
S6K1,Migration,Activation (Direct)
GTP,GEFs,Activation (Direct)
GDP,GTP,Inhibition (Direct)
NF1,GTP,Inhibition (Direct)
GEFs,Raf,Activation (Indirect)
Raf,MEK,Activation (Direct)
MEK,ERK1/2,Activation (Direct)
ERK1/2,RSK,Activation (Direct)
RSK,"Proliferation, Survival",Inhibition (Direct)
