Starter,Receptor,Relation
Receptor-specific ligands,HER1/EGFR,Activation
Receptor-specific ligands,HER2,Activation
Receptor-specific ligands,HER3,Activation
Receptor-specific ligands,HER4,Activation
HER1/EGFR,PI3K,Activation
HER2,PI3K,Activation
HER3,PI3K,Activation
HER4,PI3K,Activation
PI3K,Akt,Activation
Akt,mTor,Activation
Grb2,SOS,Activation
SOS,Ras,Activation
Ras,Raf,Activation
Raf,MEK,Activation
MEK,MAPK,Activation
MAPK,Cell Survival/Proliferation/Angiogenesis,Activation
Trastuzumab,HER2,Inhibition
Pertuzumab,HER2,Inhibition
Nimotuzumab,HER1/EGFR,Inhibition
Cetuximab,HER1/EGFR,Inhibition
Panitumumab,HER1/EGFR,Inhibition
