Starter,Receptor,Relation
H2AX,ATM,Activation
ATR,ATM,Indirect Activation
ATM,MDM2,Activation
ATM,p53,Activation
ATM,CHK2,Activation
ATM,CHK1,Activation
CHK2,CDC25A,Activation
CHK1,CDC25A,Inhibition
CDC25A,CDK1,Activation
CDK1,CyclinB1,Activation
WEE1,CDK1,Inhibition
p53,p21,Activation
p21,CyclinB1,Inhibition
p21,CDK1,Inhibition
CyclinB1,CDK1,Activation
CDK1,G2/M progression,Activation
miR-24,H2AX,Inhibition
miR-138,H2AX,Inhibition
miR-17-3p,MDM2,Inhibition
miR-18b,MDM2,Inhibition
miR-106b cluster,p21,Inhibition
miR-747,CyclinB1,Inhibition
miR-1186,CyclinB1,Inhibition
miR-410,CDK1,Inhibition
miR-650,CDK1,Inhibition
miR-15/16 family,WEE1,Inhibition
miR-155,WEE1,Inhibition
miR-15/16 family,CDC25A,Inhibition
miR-424,CHK1,Inhibition
let-7 family,CDC25A,Inhibition
miR-16,CDC25A,Inhibition
miR-21,CDC25A,Inhibition
miR-449a/b,CDC25A,Inhibition
miR-483-3p,p53,Inhibition
miR-25,p53,Inhibition
miR-30d,p53,Inhibition
miR-125b,p53,Inhibition
miR-504,CDC25A,Inhibition
