Starter,Receptor,Relation
H2AX,ATM,Activation
ATR,ATM,Indirect Activation
ATM,MDM2,Activation
ATM,p53,Activation
ATM,CHK2,Activation
ATM,CHK1,Activation
CHK2,p53,Activation
CHK1,CDC25A,Inhibition
CDC25A,CDK2,Activation
p53,p21,Activation
p21,CyclinD,Inhibition
p21,CDK4/6,Inhibition
CyclinD,CDK4/6,Activation
CDK4/6,G1/S progression,Activation
CDK2,CyclinE,Activation
CyclinE,G1/S progression,Activation
miR-24,H2AX,Inhibition
miR-138,H2AX,Inhibition
miR-17-3p,MDM2,Inhibition
miR-18b,MDM2,Inhibition
miR-106b cluster,p21,Inhibition
miR-15/16 family,CyclinD,Inhibition
miR-15/16 family,CDK4/6,Inhibition
miR-34a,CyclinD,Inhibition
miR-34a,CDK4/6,Inhibition
miR-129,CDK4/6,Inhibition
let-7 family,CyclinD,Inhibition
let-7 family,CDK4/6,Inhibition
miR-449a/b,CyclinD,Inhibition
miR-449a/b,CDK4/6,Inhibition
miR-483-3p,CyclinD,Inhibition
miR-483-3p,CDK4/6,Inhibition
miR-16,CDC25A,Inhibition
let-7 family,CDC25A,Inhibition
miR-21,CDC25A,Inhibition
miR-449a/b,CDC25A,Inhibition
miR-483-3p,CDC25A,Inhibition
miR-124a,CDK2,Inhibition
miR-885-5p,CDK2,Inhibition
miR-29c,CyclinE,Inhibition
miR-15/16 family,CyclinE,Inhibition
