Starter,Receptor,Relationship
ANG II,AGTR1,Activation (Direct)
AGTR1,PKC?,Inhibition (Indirect)
PKC?,CARMA3,Activation (Direct)
CARMA3,BCL-10,Activation (Direct)
BCL-10,MALT1,Activation (Direct)
ROS,c-SRC,Inhibition (Indirect)
c-SRC,GRB2,Activation (Direct)
GRB2,SHC,Activation (Indirect)
SHC,ERK,Activation (Indirect)
ERK,EMT,Activation (Direct)
ERK,"Proliferation, Migration, Survival",Inhibition (Indirect)
IKKγ,IκBα,Inhibition (Direct)
IκBα,NF-κB,Activation (Direct)
NF-κB,"Proliferation, Migration, Survival",Activation (Direct)
