Starter,Receptor,Relation
FAS-L,FAS-R,Activation
FAS-R,FADD,Activation
FADD,CASP8,Activation
CASP8,CASP3,Activation
CASP8,CASP7,Activation
CASP3,Apoptosis,Activation
CASP7,Apoptosis,Activation
Excess Damage,p53,Activation
p53,PUMA,Activation
p53,FAS-R,Activation
p53,NOXA,Activation
p53,BAX,Activation
BAX,BAK,Activation
BAK,BIM,Activation
BIM,Cytochrome c,Activation
Cytochrome c,APAF-1,Activation
APAF-1,CASP9,Activation
CASP9,CASP3,Inhibition
miR-155,CASP7,Inhibition
miR-155,CASP3,Inhibition
miR-378,CASP3,Inhibition
let-7,"Bcl-2, MCL1",Inhibition
miR-125b,"Bcl-2, MCL1",Inhibition
miR-29,"Bcl-2, MCL1",Inhibition
miR-101,BAX,Activation
miR-125b,"Bcl-2, MCL1",Inhibition
miR-193a-3p,"Bcl-2, MCL1",Inhibition
miR-133b,"Bcl-2, MCL1",Inhibition
miR-193b,BAX,Activation
miR-221/222,BAX,Activation
miR-296-5p,BAX,Activation
miR-128,BAX,Activation
miR-886-5p,BIM,Activation
miR-24,BIM,Activation
miR-181a,BIM,Activation
miR-301a,BIM,Activation
miR-494,BIM,Activation
miR-17-92 cluster,BIM,Inhibition
miR-106b-25 cluster,"Bcl-2, MCL1",Inhibition
miR-1,"Bcl-2, MCL1",Inhibition
miR-7,"Bcl-2, MCL1",Inhibition
miR-15/16 family,"Bcl-2, MCL1",Inhibition
miR-34a,"Bcl-2, MCL1",Inhibition
miR-136,"Bcl-2, MCL1",Inhibition
miR-143,"Bcl-2, MCL1",Inhibition
miR-148a,"Bcl-2, MCL1",Inhibition
miR-181a,"Bcl-2, MCL1",Inhibition
miR-365,"Bcl-2, MCL1",Inhibition
