Gene 1,Gene 2,Relationship
TNF-α,Caspase-8,Activation (Direct)
Caspase-8,Cyto c,Activation (Direct)
Cyto c,Caspase-9,Activation (Direct)
Caspase-9,"Caspase-3,6,7",Activation (Direct)
"Caspase-3,6,7",Apoptosis,Activation (Direct)
AAP-H,PI3K,Activation (Direct)
PI3K,AKT,Activation (Direct)
AKT,mTOR,Activation (Direct)
mTOR,Apoptosis,Activation (Direct)
Bcl-2,Bax,Inhibition (Direct)
Bcl-xl,Bax,Inhibition (Direct)
Bad,Bcl-2,Inhibition (Direct)
Bad,Bcl-xl,Inhibition (Direct)
Bax,Cyto c,Inhibition (Direct)
