Starter,Receptor,Relationship
Salvicine,ROS,activation
ROS,SRC,activation
ROS,ASK1,activation
ROS,MKPs,activation
ROS,FGFR3,activation
ROS,Ras,activation
SRC,JNK,activation
ASK1,JNK,activation
MKPs,JNK,inhibition
FGFR3,P38/MAPK,activation
Ras,P38/MAPK,activation
P38/MAPK,NRF2,indirect activation
JNK,NRF2,activation
ROS,KEAP1,activation
KEAP1,NRF2,inhibition
NRF2,Detoxification of exogenous carcinogens,activation
NRF2,Inflammation and Cell apoptosis,activation
Detoxification of exogenous carcinogens,Anticancer Potential,indirect activation
